age,job,marital,education,month,duration
56,entrepreneur,married,unknown,may,46
39,services,divorced,high.school,may,52
56,entrepreneur,married,unknown,may,204
40,blue-collar,married,unknown,may,155
36,blue-collar,married,basic.9y,may,98
51,blue-collar,married,unknown,may,71
51,blue-collar,married,unknown,may,243
43,technician,single,professional.course,may,186
59,services,married,high.school,may,579
24,management,single,university.degree,may,165
37,blue-collar,single,basic.9y,may,163
40,blue-collar,married,basic.9y,may,46
42,blue-collar,married,basic.9y,may,559
39,services,divorced,high.school,may,2033
37,entrepreneur,married,basic.6y,may,85
38,services,married,high.school,may,506
56,admin.,divorced,unknown,may,114
40,blue-collar,married,unknown,may,114
54,management,divorced,university.degree,may,843
43,blue-collar,married,high.school,may,181
36,services,married,high.school,may,427
45,technician,married,university.degree,may,292
42,admin.,single,university.degree,may,192
43,services,married,high.school,may,93
46,management,married,basic.9y,may,128
44,services,married,high.school,may,107
51,admin.,single,basic.6y,may,303
28,services,married,high.school,may,81
37,blue-collar,married,basic.9y,may,270
34,technician,married,high.school,may,228
46,blue-collar,married,basic.6y,may,240
42,blue-collar,married,basic.9y,may,673
36,admin.,married,university.degree,may,233
54,blue-collar,married,basic.4y,may,102
57,management,married,university.degree,may,461
51,technician,married,basic.6y,may,250
54,retired,married,high.school,may,130
49,blue-collar,married,basic.4y,may,252
34,admin.,married,university.degree,may,138
41,technician,married,professional.course,may,412
38,blue-collar,single,basic.9y,may,179
45,management,divorced,university.degree,may,19
42,technician,married,university.degree,may,228
34,blue-collar,single,basic.9y,may,55
48,blue-collar,married,basic.4y,may,717
37,admin.,married,high.school,may,313
34,blue-collar,single,basic.9y,may,289
40,admin.,married,basic.9y,may,683
43,blue-collar,married,basic.6y,may,1077
33,services,married,high.school,may,146
32,services,single,basic.6y,may,167
39,blue-collar,married,high.school,may,356
43,admin.,married,unknown,may,277
44,blue-collar,married,basic.9y,may,172
35,student,single,university.degree,may,218
35,student,single,university.degree,may,217
35,unemployed,married,professional.course,may,67
36,services,single,basic.4y,may,291
35,student,single,university.degree,may,248
36,student,single,basic.9y,may,256
55,housemaid,divorced,university.degree,may,286
59,admin.,married,university.degree,may,477
57,retired,married,unknown,may,611
39,blue-collar,married,professional.course,may,471
39,housemaid,married,basic.4y,may,381
30,blue-collar,single,unknown,may,251
30,blue-collar,single,unknown,may,408
50,housemaid,married,basic.4y,may,287
40,services,married,high.school,may,322
35,admin.,married,high.school,may,216
43,technician,married,unknown,may,366
36,services,single,basic.6y,may,210
46,technician,married,basic.4y,may,288
40,technician,married,basic.9y,may,168
58,retired,married,university.degree,may,132
42,technician,married,university.degree,may,64
35,admin.,single,university.degree,may,209
43,retired,married,basic.4y,may,410
45,blue-collar,married,basic.4y,may,177
39,admin.,married,professional.course,may,580
50,services,divorced,professional.course,may,165
32,management,divorced,basic.4y,may,127
39,admin.,married,high.school,may,357
52,self-employed,married,university.degree,may,175
44,admin.,married,professional.course,may,300
56,blue-collar,married,basic.4y,may,136
48,admin.,married,high.school,may,125
33,services,married,high.school,may,189
43,management,married,university.degree,may,213
57,retired,married,high.school,may,238
36,technician,single,professional.course,may,124
34,management,married,university.degree,may,18
34,services,single,basic.9y,may,730
30,technician,married,university.degree,may,40
33,services,divorced,unknown,may,181
32,technician,single,professional.course,may,79
36,technician,single,high.school,may,142
36,blue-collar,single,high.school,may,389
33,services,single,high.school,may,702
40,technician,divorced,professional.course,may,151
41,blue-collar,married,basic.4y,may,211
51,services,married,basic.6y,may,117
36,technician,married,professional.course,may,232
28,services,married,unknown,may,408
53,services,married,high.school,may,370
58,blue-collar,married,basic.9y,may,179
45,management,married,basic.9y,may,46
43,technician,married,unknown,may,200
33,admin.,married,high.school,may,50
33,admin.,married,high.school,may,181
27,blue-collar,single,basic.6y,may,119
42,technician,married,high.school,may,361
43,admin.,divorced,basic.9y,may,73
42,admin.,married,university.degree,may,67
27,blue-collar,single,basic.6y,may,350
34,self-employed,single,university.degree,may,150
31,student,single,university.degree,may,332
54,management,divorced,university.degree,may,611
40,self-employed,married,basic.4y,may,58
52,unemployed,married,high.school,may,151
47,management,divorced,university.degree,may,89
49,housemaid,married,basic.9y,may,152
32,admin.,single,high.school,may,611
49,housemaid,single,high.school,may,110
50,blue-collar,married,basic.9y,may,463
34,services,married,high.school,may,962
55,blue-collar,married,basic.4y,may,102
47,technician,single,basic.9y,may,10
51,retired,married,professional.course,may,118
47,blue-collar,married,basic.6y,may,92
56,technician,married,basic.4y,may,143
53,admin.,married,basic.9y,may,189
36,blue-collar,married,basic.9y,may,75
42,blue-collar,divorced,basic.9y,may,189
44,blue-collar,divorced,basic.6y,may,55
39,housemaid,married,basic.9y,may,935
37,admin.,single,high.school,may,56
60,blue-collar,married,unknown,may,5
36,services,married,high.school,may,225
42,management,divorced,university.degree,may,125
31,admin.,married,high.school,may,286
53,technician,divorced,professional.course,may,206
45,blue-collar,married,basic.4y,may,164
37,technician,single,professional.course,may,98
47,self-employed,married,professional.course,may,446
49,blue-collar,divorced,high.school,may,742
36,admin.,married,university.degree,may,120
35,services,divorced,high.school,may,122
38,unknown,married,unknown,may,362
38,services,single,high.school,may,357
50,blue-collar,divorced,high.school,may,200
59,retired,married,professional.course,may,107
43,unknown,married,unknown,may,267
42,admin.,married,high.school,may,248
40,admin.,married,basic.6y,may,215
46,blue-collar,married,unknown,may,209
57,housemaid,divorced,basic.4y,may,205
42,admin.,married,university.degree,may,261
41,blue-collar,married,basic.4y,may,83
54,management,divorced,university.degree,may,106
27,admin.,single,university.degree,may,106
36,admin.,married,high.school,may,108
58,blue-collar,married,professional.course,may,214
40,management,married,university.degree,may,358
34,admin.,single,basic.9y,may,453
33,admin.,divorced,high.school,may,364
56,retired,married,basic.6y,may,136
42,blue-collar,married,basic.9y,may,173
43,services,married,high.school,may,241
54,management,single,basic.9y,may,224
53,admin.,single,basic.6y,may,148
42,technician,single,unknown,may,230
40,services,married,basic.6y,may,199
54,technician,married,professional.course,may,196
40,housemaid,single,professional.course,may,111
26,admin.,single,university.degree,may,231
33,admin.,married,high.school,may,316
35,blue-collar,married,basic.9y,may,240
36,admin.,married,high.school,may,669
29,services,single,high.school,may,425
36,blue-collar,married,basic.9y,may,121
35,management,married,high.school,may,174
50,self-employed,single,university.degree,may,88
46,services,married,high.school,may,313
49,entrepreneur,married,high.school,may,135
42,technician,single,professional.course,may,152
36,blue-collar,single,high.school,may,402
55,blue-collar,married,basic.9y,may,221
41,management,married,university.degree,may,213
57,management,married,professional.course,may,144
32,services,single,high.school,may,158
49,admin.,married,basic.9y,may,220
57,unknown,married,unknown,may,325
58,blue-collar,divorced,basic.4y,may,254
52,technician,married,high.school,may,503
50,services,divorced,professional.course,may,680
41,blue-collar,single,basic.9y,may,421
33,entrepreneur,married,university.degree,may,130
57,blue-collar,married,basic.4y,may,164
48,blue-collar,married,basic.6y,may,174
55,technician,married,professional.course,may,113
38,management,married,university.degree,may,195
38,services,married,high.school,may,347
53,admin.,married,university.degree,may,208
43,unemployed,single,university.degree,may,404
36,blue-collar,single,high.school,may,396
32,blue-collar,married,basic.9y,may,98
33,services,married,basic.4y,may,229
58,entrepreneur,married,basic.4y,may,350
40,unemployed,divorced,high.school,may,88
57,management,married,university.degree,may,379
45,technician,married,high.school,may,168
42,blue-collar,married,basic.4y,may,190
46,admin.,married,university.degree,may,158
36,technician,married,university.degree,may,210
41,self-employed,married,high.school,may,102
57,admin.,divorced,basic.9y,may,306
49,blue-collar,married,basic.9y,may,64
56,management,divorced,high.school,may,218
37,blue-collar,married,basic.9y,may,77
37,blue-collar,married,basic.9y,may,54
46,admin.,single,high.school,may,344
22,blue-collar,single,basic.9y,may,195
43,services,married,high.school,may,202
49,blue-collar,married,unknown,may,286
41,technician,married,basic.6y,may,278
38,admin.,single,university.degree,may,189
33,admin.,married,basic.9y,may,83
49,admin.,married,university.degree,may,18
30,blue-collar,single,unknown,may,184
33,admin.,married,basic.9y,may,235
34,management,single,university.degree,may,290
30,student,single,unknown,may,133
59,management,married,basic.4y,may,318
59,management,married,basic.4y,may,437
41,self-employed,married,university.degree,may,402
48,housemaid,married,basic.6y,may,501
28,unknown,single,unknown,may,1201
44,services,married,high.school,may,1030
59,retired,unknown,university.degree,may,253
50,management,married,high.school,may,149
35,admin.,married,university.degree,may,144
42,admin.,married,high.school,may,69
45,admin.,married,basic.9y,may,243
36,technician,married,professional.course,may,769
56,services,married,high.school,may,135
29,blue-collar,divorced,basic.4y,may,231
41,self-employed,married,university.degree,may,442
42,blue-collar,married,basic.9y,may,199
52,services,single,high.school,may,455
48,services,married,high.school,may,152
31,blue-collar,married,high.school,may,124
43,unemployed,married,university.degree,may,424
36,blue-collar,married,basic.4y,may,43
42,entrepreneur,married,university.degree,may,154
52,services,divorced,basic.6y,may,393
39,admin.,married,high.school,may,203
36,services,married,high.school,may,140
42,blue-collar,married,basic.9y,may,326
41,admin.,married,high.school,may,483
55,technician,married,basic.4y,may,259
30,blue-collar,married,basic.9y,may,227
57,retired,unknown,basic.4y,may,673
45,entrepreneur,married,basic.4y,may,576
51,blue-collar,married,basic.4y,may,180
39,self-employed,single,basic.9y,may,90
47,admin.,married,high.school,may,505
27,services,married,high.school,may,245
34,technician,single,university.degree,may,186
57,blue-collar,married,basic.4y,may,208
43,entrepreneur,married,basic.4y,may,623
49,blue-collar,married,basic.4y,may,180
39,management,married,university.degree,may,496
38,blue-collar,married,basic.4y,may,118
49,blue-collar,married,basic.9y,may,102
58,management,married,basic.6y,may,342
43,technician,married,professional.course,may,225
50,unknown,married,unknown,may,185
31,services,married,high.school,may,276
43,self-employed,divorced,university.degree,may,87
43,self-employed,married,basic.9y,may,744
30,self-employed,single,university.degree,may,262
27,services,single,professional.course,may,271
51,services,married,unknown,may,141
37,technician,married,professional.course,may,198
46,housemaid,married,basic.9y,may,150
35,blue-collar,married,professional.course,may,241
47,admin.,divorced,university.degree,may,196
46,management,married,unknown,may,149
40,technician,married,professional.course,may,264
26,housemaid,married,university.degree,may,246
32,blue-collar,divorced,basic.9y,may,309
45,management,married,university.degree,may,140
34,admin.,married,basic.9y,may,175
47,blue-collar,married,unknown,may,136
42,technician,married,professional.course,may,1623
57,technician,married,basic.4y,may,50
57,technician,married,basic.4y,may,101
38,blue-collar,married,basic.4y,may,144
57,technician,married,basic.4y,may,238
28,student,single,basic.9y,may,354
60,management,married,university.degree,may,451
48,admin.,married,university.degree,may,159
47,technician,married,professional.course,may,170
40,admin.,married,high.school,may,243
51,management,married,professional.course,may,141
48,unemployed,single,basic.4y,may,112
54,housemaid,married,basic.4y,may,262
40,blue-collar,married,basic.6y,may,53
44,admin.,single,basic.9y,may,134
42,technician,divorced,high.school,may,204
52,self-employed,married,university.degree,may,678
31,blue-collar,single,basic.9y,may,182
32,services,married,high.school,may,162
44,admin.,married,high.school,may,177
39,management,married,basic.6y,may,27
57,management,married,professional.course,may,699
52,admin.,married,basic.4y,may,358
42,management,married,university.degree,may,1677
42,technician,single,professional.course,may,529
43,management,married,professional.course,may,310
31,admin.,divorced,high.school,may,47
29,admin.,married,university.degree,may,379
57,blue-collar,divorced,basic.4y,may,30
44,blue-collar,married,basic.9y,may,472
59,unknown,married,unknown,may,113
39,blue-collar,married,basic.4y,may,114
57,retired,married,university.degree,may,116
41,management,married,unknown,may,448
37,technician,single,high.school,may,264
38,services,married,high.school,may,169
42,retired,married,basic.4y,may,145
49,unknown,married,unknown,may,288
54,management,married,basic.6y,may,381
36,admin.,married,university.degree,may,176
32,admin.,single,university.degree,may,215
35,technician,married,professional.course,may,278
45,housemaid,married,professional.course,may,188
56,technician,married,unknown,may,174
34,technician,married,university.degree,may,226
41,unemployed,married,basic.9y,may,111
41,services,married,basic.9y,may,157
36,blue-collar,married,basic.9y,may,46
32,admin.,single,university.degree,may,49
31,services,married,high.school,may,374
38,technician,married,professional.course,may,349
35,admin.,divorced,university.degree,may,325
53,admin.,married,professional.course,may,233
51,admin.,married,basic.6y,may,531
56,entrepreneur,married,university.degree,may,153
33,admin.,married,basic.9y,may,80
33,admin.,married,basic.9y,may,198
51,services,divorced,high.school,may,568
39,services,married,high.school,may,918
45,entrepreneur,married,university.degree,may,82
40,technician,single,university.degree,may,198
60,unknown,single,unknown,may,211
33,technician,married,university.degree,may,120
47,blue-collar,married,high.school,may,269
48,blue-collar,married,basic.4y,may,128
43,entrepreneur,married,high.school,may,166
37,management,married,university.degree,may,211
50,services,married,basic.9y,may,369
59,entrepreneur,married,high.school,may,91
32,technician,married,unknown,may,267
42,housemaid,single,basic.4y,may,198
52,blue-collar,married,basic.4y,may,371
42,blue-collar,married,unknown,may,288
42,admin.,married,unknown,may,221
40,management,married,basic.9y,may,427
38,blue-collar,married,basic.9y,may,310
39,blue-collar,married,basic.6y,may,158
39,blue-collar,married,basic.6y,may,198
38,admin.,married,high.school,may,145
47,admin.,single,unknown,may,247
30,services,single,high.school,may,102
38,admin.,divorced,high.school,may,179
39,technician,divorced,university.degree,may,73
44,admin.,married,high.school,may,263
36,admin.,married,high.school,may,342
41,services,married,high.school,may,41
41,blue-collar,married,basic.6y,may,13
35,blue-collar,married,basic.9y,may,79
41,technician,married,high.school,may,358
36,services,married,high.school,may,162
35,admin.,single,high.school,may,150
33,blue-collar,single,basic.4y,may,26
38,admin.,single,basic.6y,may,250
33,self-employed,married,university.degree,may,792
55,self-employed,married,unknown,may,146
36,blue-collar,single,basic.9y,may,440
57,technician,married,professional.course,may,289
32,entrepreneur,single,university.degree,may,242
30,self-employed,single,high.school,may,123
43,admin.,married,professional.course,may,161
46,admin.,married,university.degree,may,268
35,admin.,divorced,high.school,may,259
34,admin.,single,university.degree,may,26
50,blue-collar,married,basic.4y,may,153
39,admin.,single,university.degree,may,424
39,blue-collar,married,basic.9y,may,375
42,entrepreneur,married,basic.6y,may,179
57,retired,married,university.degree,may,383
45,blue-collar,married,basic.4y,may,440
40,technician,married,basic.4y,may,195
42,blue-collar,married,high.school,may,1297
40,technician,married,basic.4y,may,217
38,blue-collar,single,basic.4y,may,87
39,blue-collar,married,basic.6y,may,427
41,blue-collar,married,basic.4y,may,189
39,blue-collar,married,basic.6y,may,502
41,blue-collar,married,basic.4y,may,260
45,admin.,married,university.degree,may,209
35,admin.,divorced,university.degree,may,179
35,admin.,married,basic.6y,may,179
49,blue-collar,married,high.school,may,69
36,technician,married,unknown,may,105
23,admin.,single,university.degree,may,266
43,unemployed,married,university.degree,may,87
49,entrepreneur,married,professional.course,may,524
36,technician,married,professional.course,may,155
51,blue-collar,married,basic.9y,may,162
56,retired,married,basic.4y,may,316
45,housemaid,married,high.school,may,352
42,admin.,married,high.school,may,695
41,admin.,divorced,high.school,may,76
32,services,married,high.school,may,535
46,management,married,university.degree,may,310
37,blue-collar,married,unknown,may,390
53,management,married,university.degree,may,369
30,blue-collar,married,basic.4y,may,112
45,unknown,married,unknown,may,79
24,technician,single,professional.course,may,140
45,unknown,married,unknown,may,315
34,admin.,single,university.degree,may,262
41,management,married,university.degree,may,174
59,blue-collar,married,basic.4y,may,424
45,blue-collar,married,basic.4y,may,135
54,blue-collar,married,basic.6y,may,36
32,technician,married,professional.course,may,1906
33,technician,married,professional.course,may,219
32,admin.,married,university.degree,may,135
34,services,single,high.school,may,147
46,management,married,university.degree,may,407
57,technician,married,professional.course,may,402
42,technician,married,basic.9y,may,209
48,admin.,married,professional.course,may,92
58,admin.,divorced,university.degree,may,208
34,services,married,high.school,may,193
32,admin.,single,university.degree,may,65
48,blue-collar,married,basic.9y,may,284
47,blue-collar,married,basic.9y,may,285
31,services,married,high.school,may,231
32,admin.,single,university.degree,may,278
32,admin.,single,university.degree,may,389
36,services,married,high.school,may,158
53,blue-collar,married,basic.4y,may,78
37,blue-collar,married,basic.9y,may,258
50,services,married,high.school,may,87
46,blue-collar,married,basic.6y,may,147
41,admin.,married,high.school,may,635
43,blue-collar,single,basic.4y,may,289
51,management,married,university.degree,may,170
38,admin.,married,university.degree,may,802
41,technician,married,basic.6y,may,381
39,services,married,high.school,may,218
52,blue-collar,married,basic.4y,may,57
37,technician,married,professional.course,may,304
41,admin.,married,basic.9y,may,241
46,admin.,divorced,university.degree,may,230
47,technician,married,professional.course,may,79
35,technician,married,professional.course,may,262
38,services,married,high.school,may,392
30,blue-collar,single,unknown,may,201
46,blue-collar,married,basic.9y,may,145
30,technician,married,professional.course,may,252
35,services,single,basic.4y,may,329
58,admin.,married,unknown,may,328
40,technician,married,professional.course,may,191
34,technician,married,university.degree,may,116
30,admin.,single,university.degree,may,246
38,services,married,basic.6y,may,532
55,management,single,basic.4y,may,293
55,management,married,university.degree,may,416
45,technician,single,professional.course,may,37
36,admin.,married,university.degree,may,132
32,admin.,single,university.degree,may,530
35,technician,married,unknown,may,175
55,management,divorced,university.degree,may,90
49,housemaid,married,basic.4y,may,524
29,admin.,married,high.school,may,29
34,blue-collar,married,basic.4y,may,311
54,retired,married,high.school,may,412
36,technician,single,professional.course,may,211
30,management,single,university.degree,may,312
33,housemaid,divorced,university.degree,may,392
37,blue-collar,married,high.school,may,191
36,technician,married,basic.9y,may,284
33,blue-collar,married,high.school,may,328
32,housemaid,married,high.school,may,100
32,housemaid,married,high.school,may,226
50,blue-collar,married,basic.4y,may,507
39,blue-collar,married,basic.9y,may,333
51,blue-collar,divorced,unknown,may,128
33,services,married,high.school,may,322
33,services,married,basic.4y,may,202
56,management,married,university.degree,may,92
39,management,divorced,university.degree,may,205
33,self-employed,single,university.degree,may,739
59,retired,divorced,basic.4y,may,273
42,admin.,single,unknown,may,339
43,services,married,high.school,may,262
35,admin.,married,university.degree,may,308
46,blue-collar,married,basic.6y,may,467
27,technician,married,basic.9y,may,245
47,admin.,divorced,university.degree,may,160
31,admin.,single,university.degree,may,189
32,blue-collar,married,basic.9y,may,477
54,admin.,married,high.school,may,65
56,management,married,university.degree,may,191
48,services,single,high.school,may,196
44,admin.,married,high.school,may,221
46,admin.,married,high.school,may,197
45,services,married,high.school,may,178
43,admin.,married,professional.course,may,221
40,admin.,single,high.school,may,64
56,management,married,university.degree,may,75
47,entrepreneur,married,professional.course,may,400
39,management,divorced,university.degree,may,378
48,technician,married,basic.4y,may,118
45,housemaid,married,professional.course,may,1597
36,self-employed,married,university.degree,may,346
49,management,married,professional.course,may,107
46,services,married,high.school,may,60
38,blue-collar,married,basic.9y,may,276
50,housemaid,married,basic.4y,may,176
27,admin.,single,high.school,may,390
40,technician,married,professional.course,may,251
46,management,married,university.degree,may,716
40,admin.,divorced,university.degree,may,189
33,management,single,university.degree,may,125
54,retired,married,high.school,may,234
52,blue-collar,married,basic.4y,may,79
53,admin.,married,university.degree,may,13
49,services,married,high.school,may,296
42,blue-collar,married,basic.4y,may,114
49,housemaid,married,basic.4y,may,283
40,entrepreneur,married,basic.9y,may,109
59,admin.,married,university.degree,may,132
51,self-employed,married,basic.9y,may,144
57,housemaid,married,basic.6y,may,121
38,self-employed,divorced,basic.9y,may,95
52,self-employed,married,university.degree,may,31
26,unemployed,single,basic.9y,may,112
35,admin.,married,university.degree,may,161
51,admin.,married,university.degree,may,87
43,blue-collar,married,basic.4y,may,593
42,admin.,married,high.school,may,99
60,retired,divorced,university.degree,may,198
36,blue-collar,married,basic.9y,may,285
57,management,married,university.degree,may,190
35,student,single,university.degree,may,172
30,admin.,married,university.degree,may,178
43,services,married,high.school,may,174
40,technician,married,basic.9y,may,631
45,technician,married,university.degree,may,152
56,retired,married,high.school,may,176
46,services,married,basic.6y,may,32
41,blue-collar,married,basic.4y,may,1529
42,admin.,married,university.degree,may,254
56,blue-collar,married,basic.4y,may,214
43,entrepreneur,married,basic.4y,may,147
34,blue-collar,married,basic.4y,may,800
38,services,married,high.school,may,106
40,technician,married,basic.9y,may,135
38,admin.,married,high.school,may,112
48,entrepreneur,married,university.degree,may,222
27,blue-collar,married,basic.9y,may,314
24,technician,single,professional.course,may,421
47,admin.,single,unknown,may,410
48,blue-collar,married,professional.course,may,207
31,admin.,single,high.school,may,239
39,self-employed,single,basic.4y,may,83
41,technician,single,university.degree,may,160
49,blue-collar,married,basic.4y,may,42
56,retired,married,basic.4y,may,55
49,admin.,married,high.school,may,157
47,unemployed,divorced,university.degree,may,303
44,blue-collar,married,unknown,may,336
48,admin.,divorced,high.school,may,233
55,housemaid,married,basic.4y,may,211
59,management,married,basic.4y,may,88
44,technician,single,professional.course,may,139
46,blue-collar,married,basic.9y,may,329
39,blue-collar,divorced,basic.6y,may,305
38,unemployed,married,basic.4y,may,206
36,services,married,high.school,may,128
29,admin.,single,university.degree,may,122
31,technician,single,professional.course,may,343
30,services,divorced,basic.9y,may,126
36,blue-collar,married,basic.4y,may,249
60,blue-collar,married,professional.course,may,59
36,admin.,married,university.degree,may,166
32,services,married,high.school,may,190
39,blue-collar,married,basic.9y,may,216
30,services,married,university.degree,may,51
39,blue-collar,married,basic.4y,may,169
37,blue-collar,married,basic.9y,may,148
39,blue-collar,married,professional.course,may,132
46,blue-collar,married,basic.4y,may,117
43,unemployed,married,basic.4y,may,275
37,services,married,high.school,may,124
30,technician,married,university.degree,may,118
38,technician,married,professional.course,may,479
31,technician,married,university.degree,may,285
44,admin.,married,university.degree,may,322
44,self-employed,married,university.degree,may,202
38,technician,married,unknown,may,162
30,student,single,high.school,may,216
37,blue-collar,married,basic.4y,may,195
54,housemaid,divorced,unknown,may,96
41,management,married,unknown,may,149
43,technician,married,professional.course,may,720
38,housemaid,married,basic.9y,may,92
41,blue-collar,married,basic.4y,may,188
38,blue-collar,single,unknown,may,70
33,blue-collar,married,basic.9y,may,141
32,admin.,married,high.school,may,395
30,services,married,high.school,may,629
43,technician,married,basic.6y,may,261
30,services,married,high.school,may,502
36,technician,divorced,professional.course,may,446
38,blue-collar,married,basic.6y,may,131
35,blue-collar,single,basic.6y,may,198
50,self-employed,married,university.degree,may,312
38,blue-collar,married,basic.9y,may,275
58,admin.,married,basic.4y,may,120
50,technician,married,professional.course,may,333
33,blue-collar,single,basic.9y,may,113
33,blue-collar,single,basic.9y,may,150
44,management,single,university.degree,may,91
31,management,married,high.school,may,296
40,entrepreneur,married,basic.9y,may,128
28,unknown,single,basic.9y,may,298
36,services,single,unknown,may,326
44,blue-collar,single,high.school,may,292
38,blue-collar,divorced,unknown,may,215
33,blue-collar,married,basic.9y,may,97
39,blue-collar,divorced,basic.6y,may,32
47,blue-collar,single,basic.4y,may,162
47,services,divorced,high.school,may,421
35,entrepreneur,single,professional.course,may,268
42,admin.,divorced,university.degree,may,232
36,admin.,married,high.school,may,152
